"","multi.km$cluster","avg","gain","peak","achievements","positive_ratings","negative_ratings","average_playtime"
"Company of Heroes - Legacy Edition",3,165.617572815534,-6.65436893203883,379.067961165049,0,4772,320,175
"Company of Heroes 2",6,4544.715,-26.6544565217391,10881.8043478261,452,32548,12038,1846
"Conan Exiles",3,6355.58910714286,161.659642857143,13367.6607142857,25,22001,9594,4431
"Contagion",3,102.415568181818,-6.30136363636364,493.443181818182,36,9087,3585,366
"Cossacks 3",3,629.079814814815,13.6725925925926,1632.83333333333,103,4298,1432,596
"Counter-Strike",5,15330.7557281553,-214.057087378641,28079.6310679612,0,124534,3339,17612
"Counter-Strike: Condition Zero",3,730.04213592233,-13.7426213592233,1392.19417475728,0,12120,1439,427
"Counter-Strike: Global Offensive",2,311632.336601942,7185.24922330097,549624.815533981,167,2644404,402313,22494
"Counter-Strike: Source",6,8568.55582524272,-231.653495145631,16400.6699029126,147,76640,3497,6842
"Craft The World",3,450.342068965517,2.7348275862069,1111.11494252874,75,6946,984,1891
"Creativerse",3,888.850256410256,3.67653846153846,1825.24358974359,0,19114,4911,3292
"Crossout",6,2644.18981481481,55.4822222222222,5160.7962962963,176,12372,6196,864
"Crusader Kings II",6,4403.14368932039,12.0611650485437,9460.8932038835,161,31668,4187,1366
"Crusader Kings III",5,13918.982,-7618.448,26298.8,66,29485,4215,1366
"Dark and Light",3,618.9784,3.6184,1370.02,29,4610,3949,1062
"DARK SOULS II",3,1623.11409638554,3.06144578313251,4217.19277108434,38,30008,3799,2377
"DARK SOULS II: Scholar of the First Sin",3,2170.64585714286,-50.1771428571429,4054.42857142857,38,25959,4289,3189
"DARK SOULS III",3,9272.46034482759,-1091.04620689655,17834.6551724138,43,100412,9953,4222
"DARK SOULS: REMASTERED",3,1593.32090909091,-429.080606060606,2967.87878787879,41,8669,4014,1160
"Darwin Project",3,344.829189189189,-7.53567567567567,1180.97297297297,0,9663,2267,160
"Day of Defeat",3,165.315145631068,-2.12514563106796,304.650485436893,0,3416,398,187
