"","multi.km$cluster","avg","gain","peak","achievements","positive_ratings","negative_ratings","average_playtime"
"Sid Meier's Civilization: Beyond Earth",3,1447.75789473684,-368.079868421053,3645.55263157895,90,9555,8224,932
"Sins of a Solar Empire: Rebellion",3,823.89359223301,-4.44203883495146,3884.44660194175,68,8642,712,507
"SMITE",6,9804.18446153846,122.145076923077,18411.0615384615,265,34514,8895,1954
"Sniper Elite 3",3,508.75275,-2.10625,1590.75,77,12737,3297,321
"Sniper Elite 4",3,1176.45542372881,28.1683050847458,3295.47457627119,85,10885,1910,522
"SNOW",3,94.8615909090909,-0.26034090909091,268.670454545455,33,7235,3754,8180
"Space Engineers",3,4226.03136363636,74.8479545454545,8954.79545454545,27,60221,9609,3739
"Spec Ops: The Line",3,159.200873786408,-2.51563106796117,677.184466019418,50,32361,2613,293
"Spiral Knights",3,521.099223300971,-11.2233980582524,1004.05825242718,54,15666,3202,275
"Squad",3,2358.49587301587,98.8647619047619,5450.03174603175,0,23539,6008,3173
"Star Conflict",6,427.756105263158,-12.7054736842105,855.978947368421,213,8647,2796,4623
"Star Trek Online",3,1557.40417475728,1.28747572815534,2980.7572815534,0,7639,2391,2514
"STAR WARS Battlefront II",3,2245.3225,60.965,5531.625,43,8504,1408,1008
"STAR WARS Republic Commando",3,63.0827184466019,0.255242718446602,184.339805825243,0,6392,379,369
"Star Wars: Battlefront 2 (Classic, 2005)",3,477.85427184466,0.776601941747573,1157.73786407767,0,29149,2425,618
"Starbound",3,3525.44127906977,-423.361627906977,8243.25581395349,51,74162,7816,3556
"Stardew Valley",3,14323.8335483871,617.807903225806,25767,40,118217,3761,2868
"Steel Division: Normandy 44",3,252.717234042553,2.42234042553192,659.851063829787,47,3063,1204,1545
"Stellaris",3,10480.5233333333,266.945833333333,22159.9333333333,95,35327,10036,2729
"Stick Fight: The Game",3,854.482926829268,16.8090243902439,2008.9512195122,28,24847,2795,584
"Stonehearth",3,280.525441176471,0.371470588235293,592.588235294118,0,5242,1719,644
"Stormworks: Build and Rescue",3,700.332888888889,36.0217777777778,1398.37777777778,0,1478,171,0
"Street Fighter V",3,1564.498,-47.5258333333333,3168.46666666667,45,8300,8498,793
"Streets of Rogue",3,247.761960784314,6.11725490196078,654.156862745098,35,5484,269,394
"Strife",3,114.035142857143,-21.2614285714286,242.114285714286,46,3677,1197,150
"Stronghold Crusader HD",3,395.217475728155,10.145145631068,852.019417475728,0,4079,170,247
"Super Animal Royale",3,321.788461538462,44.0465384615385,798.269230769231,0,1177,38,222
"Supreme Commander 2",3,366.749223300971,-2.88300970873786,778.640776699029,47,5336,903,1834
"Supreme Commander: Forged Alliance",3,394.783106796116,3.07815533980583,841.281553398058,0,4969,174,803
"Sven Co-op",3,337.032459016393,-32.1867213114754,639.196721311475,0,12211,1173,407
"Tabletop Simulator",3,2082.42756097561,92.5607317073171,5314.21951219512,27,13243,777,729
"Tactical Monsters Rumble Arena",3,252.252682926829,3.10536585365854,388.829268292683,0,3480,387,229
"Team Fortress 2",4,52956.3048543689,540.427087378641,81563.3495145631,520,515879,34036,8495
"Team Fortress Classic",3,68.5149514563107,-0.289902912621359,140.563106796117,0,3318,633,277
"Teeworlds",3,57.0325757575758,-5.86621212121212,144.893939393939,0,3104,415,112
"TEKKEN 7",3,2712.77818181818,-81.7140909090909,5078.22727272727,42,15372,3135,4367
"Terraforming Mars",3,324.608571428571,15.1339285714286,700.75,20,208,213,0
"Terraria",6,19199.0698058252,276.825145631068,37708.359223301,88,255600,7797,5585
"The Crew",3,357.466538461538,-3.54935897435897,930.833333333333,0,9479,4636,657
"The Elder Scrolls: Legends",3,822.199772727273,-70.7004545454545,1489.06818181818,0,5365,2099,448
"The Escapists 2",3,482.673023255814,11.5723255813953,1726.27906976744,58,5085,1167,674
"The Forest",3,4335.68209876543,133.376296296296,10472.2839506173,45,110460,8881,2417
"The Incredible Adventures of Van Helsing",3,112.529032258065,-21.6013978494624,438.193548387097,95,4993,1064,572
"The Isle",3,1713.87161290323,49.9311290322581,3016.56451612903,0,7107,3219,1824
"THE KING OF FIGHTERS XIII STEAM EDITION",3,126.5482,1.973,320.73,46,4300,537,451
"The Mean Greens - Plastic Warfare",3,37.9011290322581,-2.56516129032258,186.258064516129,24,5043,1370,73
"theHunter Classic",6,726.31925,1.55,1496.3375,159,11440,15403,163
"theHunter: Call of the Wild",6,2051.6762,74.5252,5072.8,133,15716,4308,1409
"Timberman",3,15.096,-1.40276923076923,97.6769230769231,20,5139,350,245
"Titan Quest Anniversary Edition",3,1108.73396226415,-50.5458490566038,2618.52830188679,88,10566,1025,739
"Tom Clancy's Rainbow Six Siege",5,53466.0456451613,1039.37580645161,99688.4838709677,0,251178,59620,7504
"Tom Clancy's The Division",3,4240.36677966102,-1089.89898305085,10200.4745762712,0,44499,19992,5500
"Tomb Raider",3,1608.69894736842,-61.7248421052632,5327.21052631579,50,93509,4103,527
"Torchlight II",3,1348.12247524752,-262.842277227723,3442.41584158416,119,29539,1757,1037
"Total War: ATTILA",6,3069.55097222222,-167.274583333333,6040.75,118,12297,4469,2147
"Total War: EMPIRE - Definitive Edition",3,3091.99388349515,-20.0485436893204,5836.69902912621,30,14928,1719,3176
"Total War: MEDIEVAL II - Definitive Edition",3,2280.1413592233,23.8087378640777,4066.52427184466,0,10270,605,469
"Total War: NAPOLEON - Definitive Edition",3,1407.78475728155,-6.56660194174757,2800.14563106796,71,8540,907,1251
"Total War: ROME II - Emperor Edition",6,7399.00494382022,-328.515056179775,14433.0337078652,188,31864,13423,5760
"Total War: THREE KINGDOMS",6,14902.2795454545,345.276818181818,31612.5,137,3386,2579,279
"Total War: WARHAMMER",6,4646.21228070175,-697.387368421053,10101.649122807,185,29826,9878,3610
"Total War: WARHAMMER II",6,16243.0482608696,617.612608695652,32748.1739130435,134,19420,2994,4721
"Tower Unite",6,223.570166666667,6.78666666666667,537.9,354,5275,968,1326
"Town of Salem",6,825.203513513513,5.33189189189189,1515.82432432432,361,13329,2112,2101
"TOXIKK",3,19.937397260274,-0.853835616438356,73.1917808219178,60,3865,1182,50
"TrackMania Nations Forever",3,244.768834951456,1.78067961165049,537.320388349515,0,8252,1244,902
"Trailmakers",3,179.039565217391,12.7352173913043,482.45652173913,0,990,308,112
"Transformice",3,966.838219178082,22.0758904109589,1904.01369863014,14,11701,2227,320
"Tree of Life",3,142.250289855072,-2.24188405797101,365.188405797101,0,4433,2203,4866
"Tribes: Ascend",3,141.801553398058,-19.5805825242718,290.349514563107,0,6470,1738,128
"Tricky Towers",3,119.428727272727,2.42636363636364,376,29,3449,378,570
"Tropico 5",3,628.889756097561,2.96926829268293,1916.14634146341,70,7878,2482,292
"Ultimate Chicken Horse",3,261.001538461538,8.88123076923077,735.476923076923,31,7908,451,622
"Ultra Street Fighter IV",3,439.472330097087,-2.81650485436893,846.52427184466,67,8247,1141,835
"Verdun",3,238.019438202247,1.03348314606742,813.224719101124,58,22048,4418,3846
"Victoria II",3,566.17359223301,9.09970873786408,1099.50485436893,0,4743,632,2580
"Vindictus",3,433.748155339806,-11.8288349514563,953.417475728155,0,3646,1460,408
"Viscera Cleanup Detail",3,155.514756097561,0.856707317073171,374.146341463415,85,6753,580,589
"Viscera Cleanup Detail: Santa's Rampage",3,25.488488372093,-3.06697674418605,80.9767441860465,13,3645,395,140
"VRChat",3,6343.98081632653,299.218979591837,10443.8163265306,0,25818,3323,1351
"WAKFU",6,594.146623376623,-25.6819480519481,1121.44155844156,146,4413,1335,2258
"War for the Overworld",6,108.765806451613,0.691827956989248,345.451612903226,141,3948,753,471
"War Robots",3,514.219142857143,25.3391428571429,835,0,756,929,32
"Warface",3,2617.46164556962,-21.5748101265823,4825.18987341772,30,32751,14409,949
"Warframe",6,33135.1970103093,404.22618556701,58536.0927835052,187,226541,20268,5845
"Wargame: Red Dragon",3,858.999518072289,-1.0966265060241,1680.73493975904,0,7949,1137,1702
"Warhammer 40,000: Dawn of War - Game of the Year Edition",3,99.1429126213592,0.43990291262136,294.407766990291,0,3485,206,309
"Warhammer 40,000: Dawn of War - Soulstorm",3,538.401262135922,5.47631067961165,1057.22330097087,0,4887,286,1433
"Warhammer 40,000: Dawn of War II",3,296.932815533981,-4.70359223300971,744.368932038835,73,5626,755,628
"Warhammer 40,000: Eternal Crusade",3,204.457540983607,-7.04344262295082,583.590163934426,67,5439,5580,495
"Warhammer 40,000: Inquisitor - Martyr",3,441.640697674419,6.61093023255814,1339.44186046512,14,3372,1931,1034
"Warhammer 40,000: Space Marine",3,178.436796116505,-6.97970873786408,674.543689320388,60,9847,998,712
"WARMODE",3,114.572878787879,-23.3192424242424,292.984848484848,0,8983,6166,75
"Watch_Dogs",3,476.981219512195,2.62756097560976,1923.57317073171,0,15159,7383,1176
"We Were Here",3,100.496530612245,4.12367346938775,326.918367346939,26,8538,701,115
"Will To Live Online",3,610.56,45.5321052631579,1113.15789473684,51,1061,427,2951
"Wolcen: Lords of Mayhem",3,983.186779661017,11.4008474576271,3744.52542372881,0,2787,1306,2766
"World of Warships",3,5612.8175,289.32525,18971.25,44,9386,3667,341
"Worm.is: The Game",3,89.1108771929825,-26.7238596491228,199.701754385965,0,3550,879,68
"Worms Armageddon",3,106.328039215686,2.08147058823529,321.225490196078,0,3517,231,246
"Worms Revolution",3,138.3725,-4.6553,558.98,34,3922,686,445
"Wreckfest",3,256.05193877551,9.65448979591837,766.714285714286,0,8834,2486,778
"XCOM 2",3,5109.854,-583.212833333333,11015.45,88,28774,7018,1891
"XCOM: Enemy Unknown",3,2536.6723,-193.2859,5923.44,85,36630,2072,1470
"Yakuza 0",3,1187.374,-69.803,2287.86666666667,55,9023,1343,1255
"Yet Another Zombie Defense",3,46.1221951219512,-0.207195121951218,983.158536585366,18,9900,1529,192
"Z1 Battle Royale",3,13731.5493333333,-230.841833333333,27242.6666666667,0,111434,91664,3142
"Zombie Panic! Source",3,106.369708737864,-4.15631067961165,218.21359223301,106,5267,914,948
